ID,Nombre,Dirección,Número,Código postal,districtCode,Colonia,altitude,nearbyStations/0,location/lat,location/lon,Tipo de estación,nearbyStations/1,nearbyStations/2,nearbyStations/3,nearbyStations/4,nearbyStations/5,punto_geo
187,187 GENERAL CANO-GOBERNADOR GREGORIO V GELATI,187 - Genral Cano-Gobernador Gregorio V. Gelati,S/N,,SMC,San Miguel Chapultepec,,176,19.41123,-99.18551,BIKE,189,190,,,,"19.41123,-99.18551"
365,365 HOLBEIN-AVENIDA REVOLUCIÓN,365 - Holbein-Avenida Revolución,S/N,3700,SMN,Santa María Nonoalco,,352,19.381117,-99.186687,BIKE,363,364,,,,"19.381117,-99.186687"
331,331 AVENIDA 2-CALLE 17,331 - Avenida 2-Calle 17,S/N,3800,SPP,San Pedro de los Pinos,,329,19.388547,-99.183971,BIKE,330,332,,,,"19.388547,-99.183971"
10,10 REFORMA-RAMIREZ,010 - Reforma - Ramírez,S/N,06500,TAB,Tabacalera,,26,19.433321,-99.154752,"BIKE,TPV",,,,,,"19.433321,-99.154752"
368,368 PORFIRIO DÍAZ-CINCINATTI,368 - Porfirio Díaz-Cincinatti,S/N,3740,1,Ampliación Granada,,366,19.379246,-99.179344,BIKE,367,369,,,,"19.379246,-99.179344"
110,110 DR. VALENZUELA-DR. RÍO DE LA LOZA,110 - Dr. Valenzuela-Dr. Río de la loza,S/N,,1,Ampliación Granada,,107,19.42513,-99.14339,BIKE,108,122,,,,"19.42513,-99.14339"
204,204 TEMISTOCLES-HOMERO,204 - Temistocles-Homero,S/N,11510,1,Ampliación Granada,,196,19.435882,-99.19152,BIKE,200,245,,,,"19.435882,-99.19152"
234,234 TRES PICOS-ARQUÍMIDES,234 - Tres Picos-Arquímides,S/N,,1,Ampliación Granada,,192,19.42783,-99.191539,BIKE,193,231,,,,"19.42783,-99.191539"
248,248 SHAKESPEARE-LAFAYETTE,248 - Shakespeare-Lafayette,S/N,11510,1,Ampliación Granada,,246,19.43175,-99.177399,BIKE,247,249,,,,"19.43175,-99.177399"
421,421 MARÍA LUZ BRINGAS-OSO,421 - María Luz Bringas-Oso,S/N,3230,ACT,Actipan,,419,19.369467,-99.179401,BIKE,420,422,,,,"19.369467,-99.179401"
267,267 AV. JESÜS GARCÏA-CARLOS J. MENESES,267 - Carlos J. Meneses - Av. jesús García,S/N,,BUE,Buenavista,,176,19.443735,-99.152203,BIKE,266,271,,,,"19.443735,-99.152203"
107,107 TOLSA-BALDERAS,107 - Tolsa-Balderas,S/N,06500,CEN,Centro,,98,19.427329,-99.149971,BIKE,108,122,,,,"19.427329,-99.149971"
360,E360 HERIBERTO FRÍAS-MATIAS ROMERO,360 - Heriberto Frías-Matias Romero,S/N,3100,DVC,Del Valle Centro,,300,19.3790279,-99.1628259,ELECTRIC_BIKE,358,359,391,,,"19.3790279,-99.1628259"
324,324 AMORES-AVENIDA EUGENIA,324 - Amores-Avenida Eugenia,S/N,3100,DVC,Del Valle Centro,,323,19.3872468,-99.1656554,BIKE,336,337,,,,"19.3872468,-99.1656554"
336,336 SAN BORJA-CDA. BARTOLOCHE,336 - San Borja-Cda. Bartoloche,S/N,3100,DVC,Del Valle Centro,,325,19.385531,-99.169673,BIKE,337,345,,,,"19.385531,-99.169673"
282,282 LA MORENA-EJE 2 PONIENTE GABRIEL MANCERA,282 - La Morena-Eje 2 Poniente Gabriel Mancera,S/N,3103,DVN,Del Valle Norte,,278,19.398692,-99.161273,BIKE,293,294,,,,"19.398692,-99.161273"
299,299 ROMERO DE TERREROS-MIER Y PESADO,299 - Romero De Terreros-Mier Y Pesado,S/N,3103,DVN,Del Valle Norte,,292,19.394601,-99.165054,BIKE,298,318,,,,"19.394601,-99.165054"
390,390 OSO-FELIX CUEVAS,390 - Oso-Felix Cuevas,S/N,3104,DVS,Del Valle Sur,,389,19.373228,-99.17826,"BIKE,TPV",391,416,,,,"19.373228,-99.17826"
395,395 SAN LORENZO-CALLEJÓN MARTÍN MENLALDE,395 - San Lorenzo-Callejón Martín Menlalde,S/N,3104,DVS,Del Valle Sur,,379,19.373742,-99.169814,BIKE,394,396,,,,"19.373742,-99.169814"
399,399 HERIBERTO FRÍAS-SAN LORENZO,399 - Heriberto Frías-San Lorenzo,S/N,3104,DVS,Del Valle Sur,,397,19.372407,-99.164519,BIKE,398,400,,,,"19.372407,-99.164519"
168,168 COMERCIO-PROGRESO,168 - Comercio-Progreso,S/N,,ESC,Escandón,,167,19.403997,-99.1776,"BIKE,TPV",169,173,,,,"19.403997,-99.1776"
169,169 PROSPERIDAD-PROGRESO,169 - Prosperidad-Progreso,S/N,,ESC,Escandón,,168,19.403019,-99.174934,BIKE,170,175,,,,"19.403019,-99.174934"
428,428 PROLONGACIÓN UXMAL-AV. POPOCATEPETL (EJE 8),428 - Prolongación Uxmal-Av. Popocatepetl (Eje 8),S/N,3340,GPM,General Pedro Maria Anaya,,427,19.363418,-99.160353,BIKE,430,431,,,,"19.363418,-99.160353"
179,179 NUEVO LEÓN-QUINTANA ROO,179 - Nuevo León-Quintana Roo,S/N,,HIP,Hipódromo,,154,19.404452,-99.171438,BIKE,180,182,,,,"19.404452,-99.171438"
31,31 HAMBURGO-INSURGENTES,031 - Hamburgo - Insurgentes,S/N,06500,JUA,Juárez,,19,19.427838,-99.161193,BIKE,27,30,,,,"19.427838,-99.161193"
284,284 DAKOTA-VERMONT,284 - Dakota-Vermont,S/N,3810,NAP,Nápoles,,289,19.397693,-99.172981,BIKE,290,291,,,,"19.397693,-99.172981"
341,341 SAN BORJA-AVENIDA CUAUHTEMOC,341 - San Borja-Avenida Cuauhtemoc,S/N,3020,NAR,Narvarte Poniente,,340,19.382851,-99.158204,BIKE,343,364,,,,"19.382851,-99.158204"
226,226 WALLON-PRESIDENTE MASARYK,226 - Wallon-Presidente Masaryk,S/N,11511,POL,Polanco,,217,19.431033,-99.18222,BIKE,239,247,,,,"19.431033,-99.18222"
133,133 COLIMA-MORELIA,133 - Colima-Morelia,S/N,,R-N,Roma Norte,,130,19.421138,-99.154725,BIKE,132,135,,,,"19.421138,-99.154725"
143,143 CÓRDOBA-SAN LUIS POTOSÍ,143 - Córdoba-San Luis Potosí,S/N,,R-N,Roma Norte,,141,19.414303,-99.157542,BIKE,144,147,,,,"19.414303,-99.157542"
351,351 CALLE 27-AVENIDA REVOLUCIÓN,351 - Calle 27-Avenida Revolución,S/N,3800,SPP,San Pedro de los Pinos,,332,19.385751,-99.186297,BIKE,352,364,,,,"19.385751,-99.186297"
257,E257 MANUEL MARIA CONTRERAS-VILLALONGIN,257 - Manuel Maria Contreras-Villalongin,S/N,,S-R,San Rafael,,6,19.4338,-99.16622,ELECTRIC_BIKE,33,160,469,,,"19.4338,-99.16622"
160,E160 ALFONSO HERRERA-GABINO BARRERA,160 - Alfonzo Herrera-Gabino Barrera,S/N,,S-R,San Rafael,,103,19.44025,-99.16346,ELECTRIC_BIKE,174,257,,,,"19.44025,-99.16346"
416,416 RECREO-PARROQUÍA,416 - Recreo-Parroquía,S/N,3104,1,Ampliación Granada,,390,19.371308,-99.177607,BIKE,391,415,,,,"19.371308,-99.177607"
440,440 REAL DE MAYORAZGO-PUENTE XOCO,440 - Real De Mayorazgo-Puente Xoco,S/N,3330,1,Ampliación Granada,,433,19.36065,-99.168669,BIKE,439,441,,,,"19.36065,-99.168669"
70,70 PARQUE MEXICO-MICHOACAN,070 - Parque México - Michoacan,S/N,06100,1,Ampliación Granada,,69,19.411272,-99.169718,"BIKE,TPV",71,76,,,,"19.411272,-99.169718"
325,325 PROVIDENCIA -AVENIDA DEL VALLE,325 - Providencia -Avenida Del Valle,S/N,3100,1,Ampliación Granada,,316,19.3881779,-99.1696894,BIKE,335,336,,,,"19.3881779,-99.1696894"
252,252 VICTOR HUGO-SHAKESPEARE,252 - Víctor Hugo-Shakespeare,S/N,11510,2,Anzures,,249,19.427575,-99.17702,BIKE,251,253,,,,"19.427575,-99.17702"
2,2 RIO GUADALQUIVIR-RIO BALSAS,002 - Río Guadalquivir - Río Balsas,S/N,06500,CUA,Cuauhtémoc,,1,19.431386,-99.171695,BIKE,5,,,,,"19.431386,-99.171695"
394,394 DR. ROBERTO GAYOL-FELIX CUEVAS,394 - Dr. Roberto Gayol-Felix Cuevas,S/N,3104,DVS,Del Valle Sur,,393,19.372437,-99.171592,BIKE,395,396,,,,"19.372437,-99.171592"
170,170 OBSERVATORIO ORIENTE-REVOLUCIÓN,170 - Observatorio Oriente-Revolución,S/N,,ESC,Escandón,,166,19.404029,-99.184342,BIKE,167,172,,,,"19.404029,-99.184342"
177,177 BENJAMIN HILL-CARLOS ZETINA,177 - BENJAMIN HILL-CARLOS ZETINA,S/N,,H-C,Hipódromo Condesa,,176,19.408841,-99.181692,BIKE,178,190,,,,"19.408841,-99.181692"
80,80 NUEVO LEON-AGUASCALIENTES,080 - Nuevo León - Aguascalientes,S/N,06100,HIP,Hipódromo,,79,19.407307,-99.172118,BIKE,83,84,,,,"19.407307,-99.172118"
384,384 EMPRESA-POUSSIN,384 - Empresa-Poussin,S/N,3920,INM,Insurgentes Mixcoac,,385,19.375873,-99.185583,BIKE,386,417,,,,"19.375873,-99.185583"
386,386 POUSSIN-DONATELLO,386 - Poussin-Donatello,S/N,3920,INM,Insurgentes Mixcoac,,384,19.37484,-99.185846,BIKE,385,417,,,,"19.37484,-99.185846"
22,22 REFORMA-MANCHESTER,022 - Reforma - Manchester,S/N,06500,JUA,Juárez,,14,19.424375,-99.172575,"BIKE,TPV",15,23,28,,,"19.424375,-99.172575"
320,320 ENRIQUE RÉBSAMEN-LUZ SAVIÑON,320 - Enrique Rébsamen-Luz Saviñon,S/N,3020,NAR,Narvarte Poniente,,296,19.391323,-99.15936,BIKE,297,319,,,,"19.391323,-99.15936"
340,340 ANAXÁGORAS-AVENIDA EUGENIA,340 - Anaxágoras-Avenida Eugenia,S/N,3020,NAR,Narvarte Poniente,,339,19.385571,-99.158188,"BIKE,TPV",341,343,,,,"19.385571,-99.158188"
240,240 EJERCITO NACIONAL-F.C. DE CUERNAVACA,204- Ejercito Nacional-F.C. de Cuernavaca,S/N,,POL,Polanco,,198,19.43855,-99.2063,"BIKE,TPV",241,,,,,"19.43855,-99.2063"
206,206 MOLIERE-HOMERO,206 - Moliere-Homero,S/N,,POL,Polanco,,202,19.435798,-99.201419,"BIKE,TPV",214,215,,,,"19.435798,-99.201419"
221,221 EMILIO CASTELAR-PRESIDENTE MASARYK,221 - Emilio Castelar-Presidente Masaryk,S/N,11510,POL,Polanco,,215,19.431799,-99.201565,"BIKE,TPV",230,231,,,,"19.431799,-99.201565"
405,405 DIVISIÓN DEL NORTE-MUNICIPIO LIBRE,405 - División Del Norte-Municipio Libre,S/N,3303,PON,Portales Norte,,402,19.370619,-99.156626,BIKE,403,404,,,,"19.370619,-99.156626"
131,131 COLIMA-JALAPA,131 - Colima-Jalapa,S/N,,R-N,Roma Norte,,129,19.419579,-99.161314,BIKE,134,,,,,"19.419579,-99.161314"
134,134 ÁLVARO OBREGÓN-ORIZABA,134 - Álvaro Obregón-Orizaba,S/N,,R-N,Roma Norte,,131,19.418304,-99.15956,"BIKE,TPV",136,137,,,,"19.418304,-99.15956"
153,153 MANZANILLO-TLAXCALA,153 - Manzanillo-Tlaxcala,S/N,,ROM,Roma Sur,,154,19.407468,-99.165141,BIKE,157,161,,,,"19.407468,-99.165141"
427,427 AVENIDA MÉXICO-COYOACAN-AV. POPOCATEPETL (EJE,427 - Avenida México-Coyoacan-Av. Popocatepetl (Eje,S/N,3310,SCA,Santa Cruz Atoyac,,411,19.365023,-99.162993,BIKE,412,426,,,,"19.365023,-99.162993"
189,189 GDOR RAFAEL REBOLLAR-GDOR JOSÉ CEBALLOS,189 - Gobernador Rafael Rebollar-Gobernador José Ceballos,S/N,,SMC,San Miguel Chapultepec,,186,19.41004,-99.18798,BIKE,187,188,,,,"19.41004,-99.18798"
370,370 TLACOQUEMECATL-AV. INSURGENTES,370 - Tlacoquemecatl-Av. Insurgentes,S/N,3200,TLA,Tlacoquemecatl,,361,19.378818,-99.177054,BIKE,369,371,,,,"19.378818,-99.177054"
426,426 CERRADA DE POPOCATEPETL-AV. POPOCATEPETL (EJE,426 - Cerrada De Popocatepetl-Av. Popocatepetl (Eje,S/N,3330,XOC,Xoco,,411,19.365519,-99.166017,BIKE,412,425,,,,"19.365519,-99.166017"
446,446 RIFF-AVENIDA RIO CHURUBUSCO,446 - Riff-Avenida Rio Churubusco,S/N,3340,GPM,General Pedro Maria Anaya,,431,19.3586,-99.156101,"BIKE,TPV",444,,,,,"19.3586,-99.156101"
355,355 CALIFORNIA-SACRAMENTO,355 - California-Sacramento,S/N,3100,ISB,Insurgentes San Borja,,345,19.38205,-99.173291,BIKE,361,,,,,"19.38205,-99.173291"
447,447 AGUSTÍN MELGAR-ZAMORA,447 AGUSTÍN MELGAR-ZAMORA,S/N,,JUA,Juárez,,447,19.418858,-99.176776,BIKE,,,,,,"19.418858,-99.176776"
402,402 UXMAL-MUNICIPIO LIBRE,402 - Uxmal-Municipio Libre,S/N,3310,1,Ampliación Granada,,401,19.3709452,-99.1587223,"BIKE,TPV",403,405,,,,"19.3709452,-99.1587223"
464,E464 MATEO ALEMÁN-PROLONGACIÓN MOLIERE,464 MATEO ALEMÁN-PROLONGACIÓN MOLIERE,S/N,,AMG,Ampliación Granada,,241,19.442421,-99.199838,ELECTRIC_BIKE,242,463,467,,,"19.442421,-99.199838"
63,63 NUEVO LEON- LAREDO,063 - Nuevo León - Laredo,S/N,06100,1,Ampliación Granada,,70,19.413681,-99.171531,"BIKE,TPV",76,77,,,,"19.413681,-99.171531"
466,466  LAGO ONEGA-LAGO LADOGA,466  LAGO ONEGA-LAGO LADOGA,S/N,,ANH,Anáhuac Dos Lagos,,243,19.44269,-99.19083,BIKE,244,465,,,,"19.44269,-99.19083"
150,150 CAMPECHE-MEDELLÍN,150 - Campeche-Medellín,S/N,,1,Ampliación Granada,,146,19.409965,-99.164292,BIKE,151,152,,,,"19.409965,-99.164292"
193,193 RUBEN DARIO-REFORMA,193 - Rubén Darío.Reforma,S/N,11510,CHA,Bosque de Chapultepec,,192,19.425907,-99.190733,BIKE,234,238,,,,"19.425907,-99.190733"
266,266 AV. JESÚS GARCIA-CARLOS J. MENESES,266 - Av. Jesús Garcia -  Carlos J. Meneses,S/N,,BUE,Buenavista,,267,19.444031,-99.152187,"BIKE,TPV",268,269,,,,"19.444031,-99.152187"
291,291 MAGDALENA-DIVISIÓN DEL NORTE,291 - Magdalena-División Del Norte,S/N,3103,DVN,Del Valle Norte,,283,19.397651,-99.169946,BIKE,284,290,,,,"19.397651,-99.169946"
413,413 PARROQUIA-AVENIDA COYOACÁN,413 - Parroquia-Avenida Coyoacán,S/N,3104,DVS,Del Valle Sur,,396,19.369782,-99.171906,BIKE,414,424,,,,"19.369782,-99.171906"
318,318 LUZ SAVIÑÓN-AMORES,318 - Luz Saviñón-Amores,S/N,3103,DVN,Del Valle Norte,,299,19.392249,-99.164127,BIKE,317,319,,,,"19.392249,-99.164127"
339,339 ENRIQUE RÉBSAMEN-AVENIDA EUGENIA,339 - Enrique Rébsamen-Avenida Eugenia,S/N,3020,NAR,Narvarte Poniente,,322,19.386032,-99.160548,BIKE,340,343,,,,"19.386032,-99.160548"
281,281 PITÁGORAS-LA MORENA,281 - Pitágoras-La Morena,S/N,3020,NAR,Narvarte Poniente,,276,19.398532,-99.157308,BIKE,280,295,,,,"19.398532,-99.157308"
315,315 ALABAMA-MONTANA,315 - Alabama-Montana,S/N,3810,NAP,Nápoles,,301,19.391472,-99.1736,BIKE,302,316,,,,"19.391472,-99.1736"
236,236 CAMPOS ELISEOS-MOLIERE,236 - Campos Eliseos-Moliere,S/N,,POL,Polanco,,229,19.42944,-99.20243,BIKE,230,235,,,,"19.42944,-99.20243"
115,115 ROMA-DINAMARCA,115 - Roma-Dinamarca,S/N,06500,JUA,Juárez,,116,19.429947,-99.159698,BIKE,117,118,,,,"19.429947,-99.159698"
118,118 LIVERPOOL-DINAMARCA,118 - Liverpool-Dinamarca,S/N,06500,JUA,Juárez,,116,19.427114,-99.158251,BIKE,117,,,,,"19.427114,-99.158251"
119,119 TURÍN-ABRAHAM GONZÁLEZ,119 - Turín-Abraham González,S/N,,JUA,Juárez,,114,19.42679,-99.15554,BIKE,118,125,,,,"19.42679,-99.15554"
26,26 REFORMA-VERSALLES,026 - Reforma - Versalles,S/N,06500,JUA,Juárez,,10,19.432685,-99.154726,"BIKE,TPV",,,,,,"19.432685,-99.154726"
125,125 MORELIA-CIRCULAR DE MORELIA,125 - Morelia-Circular de Morelia,S/N,06500,R-N,Roma Norte,,119,19.424541,-99.156204,BIKE,123,127,,,,"19.424541,-99.156204"
145,145 EJE 2 SUR YUCATÁN-CHIAPAS,145 - Eje 2 Sur Yucatán-Chiapas,S/N,,R-N,Roma Norte,,142,19.41286,-99.160661,BIKE,147,151,,,,"19.41286,-99.160661"
138,138 GUANAJUATO-FRONTERA,138 - Guanajuato-Frontera,S/N,,R-N,Roma Norte,,135,19.417702,-99.155313,BIKE,140,144,,,,"19.417702,-99.155313"
146,146 COAHUILA-MANZANILLO,146 - Coahuila-Manzanillo,S/N,,R-N,Roma Norte,,150,19.410737,-99.165716,BIKE,152,153,,,,"19.410737,-99.165716"
130,130 MÉRIDA-DURANGO,130 - Mérida-Durango,S/N,,R-N,Roma Norte,,127,19.421576,-99.158015,BIKE,132,133,,,,"19.421576,-99.158015"
208,208 HESIODO-LAMARTINE,208 - Hesiodo-Lamartine,S/N,11510,POL,Polanco,,211,19.434182,-99.189835,BIKE,212,218,,,,"19.434182,-99.189835"
209,209 SOLON-HORACIO,209 - Solón-Horacio,S/N,11510,POL,Polanco,,213,19.435478,-99.206359,BIKE,214,219,,,,"19.435478,-99.206359"
223,223 NEWTON-PRESIDENTE MASARYK,223 - Newton-Presidente Masarik,S/N,,POL,Polanco,,222,19.431242,-99.191613,"BIKE,TPV",224,231,,,,"19.431242,-99.191613"
454,E454 MONTES URALES-MONTE PELVOUX,454 MONTES URALES-MONTE PELVOUX,S/N,,LMV,Lomas Virreyes,,453,19.425905,-99.204236,ELECTRIC_BIKE,455,456,457,458,459,"19.425905,-99.204236"
429,429 PIRINEOS-AV. POPOCATEPETL (EJE 8),429 - Pirineos-Av. Popocatepetl (Eje 8),S/N,3310,SCA,Santa Cruz Atoyac,,428,19.363071,-99.158292,BIKE,430,431,,,,"19.363071,-99.158292"
85,85 ROSAS MORENO-SULLIVAN,085 - Rosas Moreno - Sullivan,S/N,06470,S-R,San Rafael,,1,19.43425,-99.162508,BIKE,3,12,,,,"19.43425,-99.162508"
256,256 GÓMEZ FARÍAS-SADI CARNOT,256 - Gómez Farías Sadi Carnot,S/N,,S-R,San Rafael,,254,19.4372,-99.15816,BIKE,259,,,,,"19.4372,-99.15816"
450,450 RAMOS ARIZPE-PUENTE DE ALVARADO,450 RAMOS ARIZPE-PUENTE DE ALVARADO,S/N,,TAB,Tabacalera,,450,19.43836,-99.152226,BIKE,,,,,,"19.43836,-99.152226"
109,109 NEZAHUALCOYOTL-ISABEL LA CATOLICA,109 - Nezahualcóyotl-Isabel la Católica,S/N,06500,CEN,Centro,,104,19.425311,-99.137421,BIKE,105,106,,,,"19.425311,-99.137421"
334,334 NUEVA YORK-AV. INSURGENTES,334 - Nuerva York-Av. Insurgentes,S/N,3840,AMN,Ampliación Nápoles,,326,19.386568,-99.175089,BIKE,335,346,,,,"19.386568,-99.175089"
335,335 MAGDALENA-AMEYALCO,335 - Magdalena-Ameyalco,S/N,3100,DVC,Del Valle Centro,,326,19.387003,-99.173504,BIKE,334,346,,,,"19.387003,-99.173504"
472,E472 BAHÍA SANTA BÁRBARA-BAHÍA DE BALLENAS,472 BAHÍA SANTA BÁRBARA-BAHÍA DE BALLENAS,S/N,,2,Anzures,,247,19.437667,-99.17711,ELECTRIC_BIKE,469,471,473,474,479,"19.437667,-99.17711"
349,349 AUGUSTO RODIN-AVENIDA SAN ANTONIO,349 - Augusto Rodin-Avenida San Antonio,S/N,3840,AMN,Ampliación Nápoles,,332,19.385688,-99.180857,BIKE,348,350,,,,"19.385688,-99.180857"
